运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,最大绝对误差,平均绝对误差,CKKS 直接结果误差,骨架行列误差,CUR 重建误差,密文区域误差,明文区域误差
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,failure,外积 CKKS skeleton,0.5468195407324067,0.0005360857478087249,2.420876183873499e-05,N/A,1.534183493384966e-05,0.5468195407324067,0.6004713906656669,0.5021101911826483
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,57,base_model.model.model.layers.21.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,failure,外积 CKKS skeleton,0.1516455155857665,0.0004453281233714693,1.278824881296229e-05,N/A,7.592753403856e-06,0.1516455155857665,0.1365250645640932,0.16418086913196667
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.05044405801011706,7.111607986886058e-05,2.9415532252678017e-06,N/A,1.3286451131817127e-05,0.05044405801011706,0.051018264720673286,0.04998223759149648
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.026354665689146285,4.647369492793306e-05,2.0020705773959504e-06,N/A,9.847270104910825e-06,0.026354665689146285,0.026412414868890365,0.02630930079827143
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.02431769256328737,2.7302988561057992e-05,1.4016931937964158e-06,N/A,1.3071685969977409e-05,0.02431769256328737,0.026296346032223868,0.022731597541237037
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.021585875442506636,3.160772169500739e-05,9.619136228825574e-07,N/A,1.5341886142402543e-05,0.021585875442506636,0.021989587161140578,0.02126087737131291
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,87,base_model.model.model.layers.5.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.01753477662862757,0.00020944427146121487,1.0217234844943934e-06,N/A,1.1084255630558536e-05,0.01753477662862757,0.017588798827848126,0.01749339909570419
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.017028844830869697,2.7123345438172158e-05,1.2632476519036994e-06,N/A,1.082764834640435e-05,0.017028844830869697,0.016488900773654412,0.0174527439455867
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,74,base_model.model.model.layers.25.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.008246676144574493,7.450136110308732e-06,3.766681427176981e-07,N/A,1.5523492125500534e-05,0.008246676144574493,0.007813521333822923,0.008595575218956606
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.007630660229853467,1.3575607806652317e-05,6.266386590246839e-07,N/A,8.665748759549911e-06,0.007630660229853467,0.007138813375283088,0.00807058504211512
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,92,base_model.model.model.layers.7.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.005283720006388606,4.3767524556811375e-06,2.411523978512002e-07,N/A,1.6113709930247293e-05,0.005283720006388606,0.0054368395666583285,0.0051561988060165416
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.00523978833098802,4.532845597210447e-06,1.9855259842233935e-07,N/A,1.885883607760522e-05,0.00523978833098802,0.005352879528847755,0.0051382830741541945
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004920707446774882,5.344490584754686e-06,3.0443719926595336e-07,N/A,1.0946476734130501e-05,0.004920707446774882,0.004915095959989172,0.004924957004457295
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,70,base_model.model.model.layers.24.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004880894438941269,7.6061382240176484e-06,3.3118634192779347e-07,N/A,1.0078618905293569e-05,0.004880894438941269,0.0046893933395766325,0.005038040541994769
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.00450462573291631,5.405963695078985e-06,2.3685582510255381e-07,N/A,1.397937822021709e-05,0.00450462573291631,0.004345661633861947,0.004652957494505914
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,81,base_model.model.model.layers.4.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004420642307804652,6.989853672358645e-06,3.034635919429198e-07,N/A,1.1277739634742254e-05,0.004420642307804652,0.004626718062117973,0.004268033512995684
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004148191346316949,3.0834014106155327e-06,1.7202434013380545e-07,N/A,1.8347021902689276e-05,0.004148191346316949,0.004096439723871803,0.004189170723636493
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,89,base_model.model.model.layers.6.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004136654129606178,6.776365484622429e-06,2.9183508761304017e-07,N/A,1.0318550818167531e-05,0.004136654129606178,0.004249272328966429,0.004056033648367378
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004025591359894895,5.793924441288192e-06,2.7134271405022926e-07,N/A,1.073706634021243e-05,0.004025591359894895,0.0041712620887714305,0.003914214945130818
20260722-104135-real-d3200-outer-partial_AB-ratio25-skeleton,93,base_model.model.model.layers.7.self_attn.o_proj.lora.default,外积,partial_AB,25,开,3200,3200,可行,warning,外积 CKKS skeleton,0.003744912307600984,6.343682459965747e-06,2.539008904539548e-07,N/A,1.0481588165445806e-05,0.003744912307600984,0.0037999345367774563,0.0037042583328802158
