阶段,耗时秒,传输字节,传输MB,备注
建立CKKS密钥,0.033655,0,0.0,"私钥+公开context, degree=8192"
准备A/B与明文参考,0.048928,0,0.0,ΔW_mean 秩=16
客户端加密上传-骨架,5.291933,449290542,428.4769,4客户端×(2·rank因子+骨架广播标量)
客户端加密上传-完整,8.6481,695318193,663.1071,4客户端×(2·rank因子+全部64行列广播标量)
服务端骨架聚合,3.313789,10759712,10.2613,下发 41列+41行密文
服务端完整聚合,5.078992,16795648,16.0176,下发 2×64 条密文
客户端解密-骨架,0.02334,0,0.0,解 41列+41行
客户端解密-完整,0.018183,0,0.0,解 64 列
误差-完整聚合,0.0,0,0.0,ε=1.047e-06
误差-骨架r=2,0.0,0,0.0,ε=7.885e+00
误差-骨架r=4,0.0,0,0.0,ε=1.935e+00
误差-骨架r=6,0.0,0,0.0,ε=9.452e+00
误差-骨架r=8,0.0,0,0.0,ε=9.785e+00
误差-骨架r=10,0.0,0,0.0,ε=5.855e+02
误差-骨架r=12,0.0,0,0.0,ε=3.269e+00
误差-骨架r=14,0.0,0,0.0,ε=6.427e-01
误差-骨架r=16,0.0,0,0.0,ε=1.339e-05
